symbol,tprofit,cprofit,target,stoploss
WIPRO,78.074,214.72196352021533,1.99,0.01
IDEA,205.28000000000003,6.569716573655519,22.0,0.01
ADANIENT,120.66800000000002,3.0010754029398345,20.1,0.01
RTNINDIA,134.04700000000005,3.630986802667916,8.5,0.01
SUZLON,242.7450000000001,957.9680993075297,15.8,0.01
YESBANK,104.36000000000004,271.3464368241695,10.6,0.01
WIPRO,90.20100000000002,240.8221084210172,4.0,0.01
TATAMOTORS,84.098,221.82340875402923,3.9,0.65
TCS,77.08500000000001,212.57837381851937,6.2,0.01
ADANIGREEN,154.42000000000007,434.9643423807453,9.5,0.01
TATASTEEL,102.421,266.36125472924084,15.0,0.1
ONGC,87.03999999999999,229.8445049104947,21.700000000000003,0.01
ITC,63.00099999999999,185.5952660305553,2.0,0.02
NTPC,973.486,227776.99940125755,29.9,0.01
POWERGRID,118.86400000000005,311.76013707288183,16.400000000000002,0.01
NTPC,973.486,227776.99940125755,29.900000000000002,0.01
